die	000001100010101011	6
dem	0000011000101011	6
,	00000110001010100	6
in	0000011000101010100	6
und	0000011000101010101	6
Ich	0000011000101111	3
hörte	00000110010	3
Wagen	010	3
an	00000110001001	3
Gartengitter	0000010	3
vorüberfahren	0011	3
manchmal	000001100001	3
sah	000001111	3
ich	0000011000101101001	3
sie	0000000	3
auch	00010	3
durch	00000110001010001	3
schwach	0000011000101110	3
bewegten	000011	3
Lücken	00000110011	3
im	000001100010100100	3
Laub.	00000110001010000	3
Wie	000001100010100101	3
krachte	000001100010100110	3
heißen	00000110001011011	3
Sommer	000001110	3
das	000001100010100111	3
Holz	000001100011	3
ihren	00011	3
Speichen	00000110001000	3
Deichseln	00000110001011000	3
!	0010	3
Arbeiter	0000011000101101000	3
kamen	0000011000101101010	3
von	0000001	3
den	00000110001011001	3
Feldern	1	3
lachten	000010	3
daß	0000011010	3
es	0000011011	3
eine	000001100000	3
Schande	011	3
war.	0000011000101101011	3
